Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Product Category,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
nl-he-2.5x1.5x10-nl-he-bcg-#2.20-254-6t-odp---7s,NL-HE 2.5x1.5x10-NL-HE BCG #2.20 254/6T ODP - 7S -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.20 254/6T ODP - 7S<br><strong>Weight lbs: </strong> 175<br><strong>Description: </strong> NL-HE BCG #2.20 254/6T ODP - 7S<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327478,79378.6,,,continue,manual,1555.26,4830,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #2.20 254/6T ODP - 7S -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #2.20 254/6T ODP - 7S - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.20 254/6T ODP - 7S<br><strong>Weight lbs: </strong> 175<br><strong>Description: </strong> NL-HE BCG #2.20 254/6T ODP - 7S<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1352.4,,,active
nl-he-2.5x1.5x10-nl-he-bcg-#2.21-284ts-odp---7s,NL-HE 2.5x1.5x10-NL-HE BCG #2.21 284TS ODP - 7S -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.21 284TS ODP - 7S<br><strong>Weight lbs: </strong> 172<br><strong>Description: </strong> NL-HE BCG #2.21 284TS ODP - 7S<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327479,78017.824,,,continue,manual,1389.43,4315,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #2.21 284TS ODP - 7S -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #2.21 284TS ODP - 7S - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.21 284TS ODP - 7S<br><strong>Weight lbs: </strong> 172<br><strong>Description: </strong> NL-HE BCG #2.21 284TS ODP - 7S<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1208.2,,,active
nl-he-2.5x1.5x10-nl-he-bcg-#2.22-284-6ts-odp---7s,NL-HE 2.5x1.5x10-NL-HE BCG #2.22 284/6TS ODP - 7S -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.22 284/6TS ODP - 7S<br><strong>Weight lbs: </strong> 172<br><strong>Description: </strong> NL-HE BCG #2.22 284/6TS ODP - 7S<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327480,78017.824,,,continue,manual,1416.8,4400,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #2.22 284/6TS ODP - 7S -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #2.22 284/6TS ODP - 7S - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.22 284/6TS ODP - 7S<br><strong>Weight lbs: </strong> 172<br><strong>Description: </strong> NL-HE BCG #2.22 284/6TS ODP - 7S<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1232,,,active
nl-he-2.5x1.5x10-nl-he-bcg-#2.23-324ts-odp---rtx38,NL-HE 2.5x1.5x10-NL-HE BCG #2.23 324TS ODP - RTX38 -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.23 324TS ODP - RTX38<br><strong>Weight lbs: </strong> 176<br><strong>Description: </strong> NL-HE BCG #2.23 324TS ODP - RTX38<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327481,79832.192,,,continue,manual,1601.95,4975,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #2.23 324TS ODP - RTX38 -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #2.23 324TS ODP - RTX38 - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.23 324TS ODP - RTX38<br><strong>Weight lbs: </strong> 176<br><strong>Description: </strong> NL-HE BCG #2.23 324TS ODP - RTX38<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1393,,,active
nl-he-2.5x1.5x10-nl-he-bcg-#2.24-324-6ts-odp-rtx38,NL-HE 2.5x1.5x10-NL-HE BCG #2.24 324/6TS ODP RTX38 -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.24 324/6TS ODP RTX38<br><strong>Weight lbs: </strong> 176<br><strong>Description: </strong> NL-HE BCG #2.24 324/6TS ODP RTX38<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327482,79832.192,,,continue,manual,1629.32,5060,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #2.24 324/6TS ODP RTX38 -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #2.24 324/6TS ODP RTX38 - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #2.24 324/6TS ODP RTX38<br><strong>Weight lbs: </strong> 176<br><strong>Description: </strong> NL-HE BCG #2.24 324/6TS ODP RTX38<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1416.8,,,active
nl-he-2.5x1.5x10-nl-he-bcg-#3.42-182-4t-odp---5s,NL-HE 2.5x1.5x10-NL-HE BCG #3.42 182/4T ODP - 5S -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #3.42 182/4T ODP - 5S<br><strong>Weight lbs: </strong> 127<br><strong>Description: </strong> NL-HE BCG #3.42 182/4T ODP - 5S<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327504,57606.184,,,continue,manual,1305.71,4055,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #3.42 182/4T ODP - 5S -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #3.42 182/4T ODP - 5S - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #3.42 182/4T ODP - 5S<br><strong>Weight lbs: </strong> 127<br><strong>Description: </strong> NL-HE BCG #3.42 182/4T ODP - 5S<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1135.4,,,active
nl-he-2.5x1.5x10-nl-he-bcg-#3.43-182-4t-tefc---5s,NL-HE 2.5x1.5x10-NL-HE BCG #3.43 182/4T TEFC - 5S -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #3.43 182/4T TEFC - 5S<br><strong>Weight lbs: </strong> 127<br><strong>Description: </strong> NL-HE BCG #3.43 182/4T TEFC - 5S<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327505,57606.184,,,continue,manual,1310.54,4070,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #3.43 182/4T TEFC - 5S -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #3.43 182/4T TEFC - 5S - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #3.43 182/4T TEFC - 5S<br><strong>Weight lbs: </strong> 127<br><strong>Description: </strong> NL-HE BCG #3.43 182/4T TEFC - 5S<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1139.6,,,active
nl-he-2.5x1.5x10-nl-he-bcg-#4.54-213-5t-opd---6s,NL-HE 2.5x1.5x10-NL-HE BCG #4.54 213/5T OPD - 6S -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #4.54 213/5T OPD - 6S<br><strong>Weight lbs: </strong> 138<br><strong>Description: </strong> NL-HE BCG #4.54 213/5T OPD - 6S<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327519,62595.696,,,continue,manual,1403.92,4360,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #4.54 213/5T OPD - 6S -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #4.54 213/5T OPD - 6S - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #4.54 213/5T OPD - 6S<br><strong>Weight lbs: </strong> 138<br><strong>Description: </strong> NL-HE BCG #4.54 213/5T OPD - 6S<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1220.8,,,active
nl-he-2.5x1.5x10-nl-he-bcg-#4.55-213-5t-tefc---6s,NL-HE 2.5x1.5x10-NL-HE BCG #4.55 213/5T TEFC - 6S -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #4.55 213/5T TEFC - 6S<br><strong>Weight lbs: </strong> 140<br><strong>Description: </strong> NL-HE BCG #4.55 213/5T TEFC - 6S<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327520,63502.88,,,continue,manual,1386.21,4305,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #4.55 213/5T TEFC - 6S -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #4.55 213/5T TEFC - 6S - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #4.55 213/5T TEFC - 6S<br><strong>Weight lbs: </strong> 140<br><strong>Description: </strong> NL-HE BCG #4.55 213/5T TEFC - 6S<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1205.4,,,active
nl-he-2.5x1.5x10-nl-he-bcg-#5.59-284-6ts-tefc---7s,NL-HE 2.5x1.5x10-NL-HE BCG #5.59 284/6TS TEFC - 7S -Wilo - NL-HE Base-Coupling-Guard,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #5.59 284/6TS TEFC - 7S<br><strong>Weight lbs: </strong> 196<br><strong>Description: </strong> NL-HE BCG #5.59 284/6TS TEFC - 7S<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Base Mount End Suction Pumps,"Wilo, Wilo - NL-HE Base-Coupling-Guard",TRUE,,,,,,,3328094-3327524,88904.032,,,continue,manual,1458.66,4530,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/Wilo_NL_HE.png?v=1754303650,1,NL-HE 2.5x1.5x10-NL-HE BCG #5.59 284/6TS TEFC - 7S -Wilo - NL-HE Base-Coupling-Guard,,NL-HE 2.5x1.5x10-NL-HE BCG #5.59 284/6TS TEFC - 7S - Wilo,"<p><strong>Model: </strong> NL-HE 2.5x1.5x10-NL-HE BCG #5.59 284/6TS TEFC - 7S<br><strong>Weight lbs: </strong> 196<br><strong>Description: </strong> NL-HE BCG #5.59 284/6TS TEFC - 7S<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1268.4,,,active
