Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Product Category,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
il-1.25-25-55-4-3-pole,"IL 1.25 25/55-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.25 25/55-4<br><strong>Power HP: </strong> ½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2714443,0,,,continue,manual,2368.08,5720,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 25/55-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.25 25/55-4 - Wilo,"<p><strong>Model: </strong> IL 1.25 25/55-4<br><strong>Power HP: </strong> ½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2059.2,,,draft
il-1.25-30-80-4-3-pole,"IL 1.25 30/80-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.25 30/80-4<br><strong>Power HP: </strong> ¾<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2714449,0,,,continue,manual,2098.98,5070,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 30/80-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.25 30/80-4 - Wilo,"<p><strong>Model: </strong> IL 1.25 30/80-4<br><strong>Power HP: </strong> ¾<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1825.2,,,draft
il-1.25-40-70-4-3-pole,"IL 1.25 40/70-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.25 40/70-4<br><strong>Power HP: </strong> 1<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 95.0<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2760702,43091.24,,,continue,manual,2150.73,5195,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 40/70-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.25 40/70-4 - Wilo,"<p><strong>Model: </strong> IL 1.25 40/70-4<br><strong>Power HP: </strong> 1<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 95.0<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1870.2,,,draft
il-1.25-50-90-4-3-pole,"IL 1.25 50/90-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.25 50/90-4<br><strong>Power HP: </strong> 1½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 101.0<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2760708,45812.792,,,continue,manual,2187.99,5285,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 50/90-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.25 50/90-4 - Wilo,"<p><strong>Model: </strong> IL 1.25 50/90-4<br><strong>Power HP: </strong> 1½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 101.0<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1902.6,,,draft
il-1.5-25-100-4-3-pole,"IL 1.5 25/100-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 25/100-4<br><strong>Power HP: </strong> ¾<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2714455,0,,,continue,manual,2206.62,5330,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 25/100-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.5 25/100-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 25/100-4<br><strong>Power HP: </strong> ¾<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1918.8,,,draft
il-1.5-35-100-4-3-pole,"IL 1.5 35/100-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 35/100-4<br><strong>Power HP: </strong> 1<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 99.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2760714,44905.608,,,continue,manual,2264.58,5470,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 35/100-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.5 35/100-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 35/100-4<br><strong>Power HP: </strong> 1<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 99.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1969.2,,,draft
il-1.5-45-110-4-3-pole,"IL 1.5 45/110-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 45/110-4<br><strong>Power HP: </strong> 1½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 106.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2760720,48080.752,,,continue,manual,2295.63,5545,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 45/110-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.5 45/110-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 45/110-4<br><strong>Power HP: </strong> 1½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 106.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1996.2,,,draft
il-1.5-50-130-4-3-pole,"IL 1.5 50/130-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 50/130-4<br><strong>Power HP: </strong> 2<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 124.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2714461,56245.408,,,continue,manual,1987.2,4800,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 50/130-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.5 50/130-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 50/130-4<br><strong>Power HP: </strong> 2<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 124.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1728,,,draft
il-1.5-55-110-4-3-pole,"IL 1.5 55/110-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 55/110-4<br><strong>Power HP: </strong> 2<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 137.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2760796,62142.104,,,continue,manual,2806.92,6780,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 55/110-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.5 55/110-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 55/110-4<br><strong>Power HP: </strong> 2<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 137.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2440.8,,,draft
il-1.5-70-130-4-3-pole,"IL 1.5 70/130-4-Wilo-IL  Three Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 70/130-4<br><strong>Power HP: </strong> 3<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 141.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-4 Pole",FALSE,,,,,,,2760800,63956.472,,,continue,manual,2337.03,5645,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 70/130-4-Wilo-IL  Three Phase, 4 Pole",,IL 1.5 70/130-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 70/130-4<br><strong>Power HP: </strong> 3<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 141.0<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2032.2,,,draft
