Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Product Category,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
scp-10-x-8-x-12½-ha---pump-end-only-by-wilo,SCP 10 x 8 x 12½ HA - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047488,0,,,continue,manual,6785.8,22695.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 10 x 8 x 12½ HA - (Pump end only) by Wilo ,,SCP 10 x 8 x 12½ HA - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,5900.7,,,draft
scp-10-x-8-x-15-ha---pump-end-only-by-wilo,SCP 10 x 8 x 15 HA - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 10 x 8 x 15 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047492,0,,,continue,manual,9829.62,32875.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 10 x 8 x 15 HA - (Pump end only) by Wilo ,,SCP 10 x 8 x 15 HA - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 10 x 8 x 15 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,8547.5,,,draft
scp-12-x-10-x-14-ha---pump-end-only-by-wilo,SCP 12 x 10 x 14 HA - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 12 x 10 x 14 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047502,0,,,continue,manual,9790.75,32745.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 12 x 10 x 14 HA - (Pump end only) by Wilo ,,SCP 12 x 10 x 14 HA - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 12 x 10 x 14 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,8513.7,,,draft
scp-16-x-12-x-15-1-2-ha---pump-end-only-by-wilo,SCP 16 x 12 x 15-1/2 HA - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 16 x 12 x 15-1/2 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047510,0,,,continue,manual,11187.08,37415.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 16 x 12 x 15-1/2 HA - (Pump end only) by Wilo ,,SCP 16 x 12 x 15-1/2 HA - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 16 x 12 x 15-1/2 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,9727.9,,,draft
scp-2.5x2x8.5-ha---pump-end-only-by-wilo,SCP 2.5x2x8.5 HA - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 2.5x2x8.5 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047460,0,,,continue,manual,1430.72,4785.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 2.5x2x8.5 HA - (Pump end only) by Wilo ,,SCP 2.5x2x8.5 HA - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 2.5x2x8.5 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1244.1,,,draft
scp-3-x-2-x-13-ds---pump-end-only-by-wilo,SCP 3 x 2 x 13 DS - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 3 x 2 x 13 DS - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047463,0,,,continue,manual,4186.0,14000.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 3 x 2 x 13 DS - (Pump end only) by Wilo ,,SCP 3 x 2 x 13 DS - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 3 x 2 x 13 DS - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,3640.0,,,draft
scp-3-x-2-x-13-ha----pump-end-only-by-wilo,SCP 3 x 2 x 13 HA  - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 3 x 2 x 13 HA  - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047462,0,,,continue,manual,2841.99,9505.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 3 x 2 x 13 HA  - (Pump end only) by Wilo ,,SCP 3 x 2 x 13 HA  - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 3 x 2 x 13 HA  - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2471.3,,,draft
scp-3-x-2.5-x-15-hs---pump-end-only-by-wilo,SCP 3 x 2.5 x 15 HS - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 3 x 2.5 x 15 HS - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047464,0,,,continue,manual,4242.81,14190.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 3 x 2.5 x 15 HS - (Pump end only) by Wilo ,,SCP 3 x 2.5 x 15 HS - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 3 x 2.5 x 15 HS - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,3689.4,,,draft
scp-3x2x7-ha----pump-end-only-by-wilo,SCP 3X2X7 HA  - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 3X2X7 HA  - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047461,0,,,continue,manual,1052.48,3520.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 3X2X7 HA  - (Pump end only) by Wilo ,,SCP 3X2X7 HA  - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 3X2X7 HA  - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,915.2,,,draft
scp-4-x-3-x-13-ha---pump-end-only-by-wilo,SCP 4 x 3 x 13 HA - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 4 x 3 x 13 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047468,0,,,continue,manual,3321.89,11110.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 4 x 3 x 13 HA - (Pump end only) by Wilo ,,SCP 4 x 3 x 13 HA - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 4 x 3 x 13 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2888.6,,,draft
scp-4-x-3-x-15-ds---pump-end-only-by-wilo,SCP 4 x 3 x 15 DS - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 4 x 3 x 15 DS - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047467,0,,,continue,manual,6429.99,21505.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 4 x 3 x 15 DS - (Pump end only) by Wilo ,,SCP 4 x 3 x 15 DS - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 4 x 3 x 15 DS - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,5591.3,,,draft
scp-4-x-3-x-7.5-ha---pump-end-only-by-wilo,SCP 4 x 3 x 7.5 HA - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 4 x 3 x 7.5 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047466,0,,,continue,manual,2665.59,8915.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 4 x 3 x 7.5 HA - (Pump end only) by Wilo ,,SCP 4 x 3 x 7.5 HA - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 4 x 3 x 7.5 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2317.9,,,draft
scp-4-x-3-x-9-ha---pump-end-only-by-wilo,SCP 4 x 3 x 9 HA - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 4 x 3 x 9 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047465,0,,,continue,manual,2915.25,9750.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 4 x 3 x 9 HA - (Pump end only) by Wilo ,,SCP 4 x 3 x 9 HA - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 4 x 3 x 9 HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2535.0,,,draft
scp-5-x-4-x-10½-ha---pump-end-only-by-wilo,SCP 5 x 4 x 10½ HA - (Pump end only) by Wilo ,"<p><strong>Model: </strong> SCP 5 x 4 x 10½ HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump End Only",FALSE,,,,,,,8047470,0,,,continue,manual,3073.72,10280.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,SCP 5 x 4 x 10½ HA - (Pump end only) by Wilo ,,SCP 5 x 4 x 10½ HA - (Pump end only) by Wilo,"<p><strong>Model: </strong> SCP 5 x 4 x 10½ HA - (Pump end only) by Wilo<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2672.8,,,draft
