Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Product Category,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
il-1.25-125-100-2,"IL 1.25 125/100-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.25 125/100-2<br><strong>Power HP: </strong> 5<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 157<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2714619,71213.944,,,continue,manual,2233.53,5395,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 125/100-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.25 125/100-2 - Wilo,"<p><strong>Model: </strong> IL 1.25 125/100-2<br><strong>Power HP: </strong> 5<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 157<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1942.2,,,draft
il-1.25-160-140-2,"IL 1.25 160/140-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.25 160/140-2<br><strong>Power HP: </strong> 7½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 219<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2714623,99336.648,,,continue,manual,2765.52,6680,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 160/140-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.25 160/140-2 - Wilo,"<p><strong>Model: </strong> IL 1.25 160/140-2<br><strong>Power HP: </strong> 7½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 219<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2404.8,,,draft
il-1.25-195-160-2,"IL 1.25 195/160-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.25 195/160-2<br><strong>Power HP: </strong> 10<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 234<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2714627,106140.528,,,continue,manual,3028.41,7315,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 195/160-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.25 195/160-2 - Wilo,"<p><strong>Model: </strong> IL 1.25 195/160-2<br><strong>Power HP: </strong> 10<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 234<br><strong>Flange Type: </strong> 1¼” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2633.4,,,draft
il-1.5-120-260-2,"IL 1.5 120/260-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.5 120/260-2<br><strong>Power HP: </strong> 7½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 157<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2760752,71213.944,,,continue,manual,3906.09,9435,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 120/260-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.5 120/260-2 - Wilo,"<p><strong>Model: </strong> IL 1.5 120/260-2<br><strong>Power HP: </strong> 7½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 157<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,3396.6,,,draft
il-1.5-130-200-2,"IL 1.5 130/200-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.5 130/200-2<br><strong>Power HP: </strong> 7½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 216<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2760822,97975.872,,,continue,manual,4365.63,10545,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 130/200-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.5 130/200-2 - Wilo,"<p><strong>Model: </strong> IL 1.5 130/200-2<br><strong>Power HP: </strong> 7½<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 216<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,3796.2,,,draft
il-1.5-150-220-2,"IL 1.5 150/220-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.5 150/220-2<br><strong>Power HP: </strong> 10<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 183<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2760826,83007.336,,,continue,manual,3636.99,8785,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 150/220-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.5 150/220-2 - Wilo,"<p><strong>Model: </strong> IL 1.5 150/220-2<br><strong>Power HP: </strong> 10<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 183<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,3162.6,,,draft
il-1.5-150-300-2,"IL 1.5 150/300-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.5 150/300-2<br><strong>Power HP: </strong> 10<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 148<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2760756,67131.616,,,continue,manual,3142.26,7590,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 150/300-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.5 150/300-2 - Wilo,"<p><strong>Model: </strong> IL 1.5 150/300-2<br><strong>Power HP: </strong> 10<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 148<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2732.4,,,draft
il-1.5-175-325-2,"IL 1.5 175/325-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.5 175/325-2<br><strong>Power HP: </strong> 15<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 256<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2763350,116119.552,,,continue,manual,3672.18,8870,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 175/325-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.5 175/325-2 - Wilo,"<p><strong>Model: </strong> IL 1.5 175/325-2<br><strong>Power HP: </strong> 15<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 256<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,3193.2,,,draft
il-1.5-200-230-2,"IL 1.5 200/230-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.5 200/230-2<br><strong>Power HP: </strong> 15<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 258<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2714635,117026.736,,,continue,manual,3674.25,8875,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 200/230-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.5 200/230-2 - Wilo,"<p><strong>Model: </strong> IL 1.5 200/230-2<br><strong>Power HP: </strong> 15<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 258<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,3195,,,draft
il-1.5-210-220-2,"IL 1.5 210/220-2-Wilo-IL  Three Phase, 2 Pole","<p><strong>Model: </strong> IL 1.5 210/220-2<br><strong>Power HP: </strong> 15<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 229<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Three Phase-2 Pole",FALSE,,,,,,,2760830,103872.568,,,continue,manual,3682.53,8895,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 210/220-2-Wilo-IL  Three Phase, 2 Pole",,IL 1.5 210/220-2 - Wilo,"<p><strong>Model: </strong> IL 1.5 210/220-2<br><strong>Power HP: </strong> 15<br><strong>Voltage: </strong> 3~ 208/230-460V<br><strong>Weight lbs: </strong> 229<br><strong>Flange Type: </strong> 1½” ANSI Standard<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,3202.2,,,draft
