Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Cost,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
co-2-helix-v20-03-1-1-vce,CO-2 HELIX V20-03-1/1/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-03-1/1/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 1 HP<br><strong>Weight:</strong> 794 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3313992,360152,shopify,,deny,manual,23552.89,54070.0,19465.2,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-03-1/1/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-03-1/1/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-03-1/1/VCE <p><strong>Model:</strong> CO-2 HELIX V20-03-1/1/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 1 HP<br><strong>Weight:</strong> 794 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 23552.89 USD
Buy CO-2 HELIX V20-03-1/1/VCE online. Durable, efficient booster pump system from Wilo.",,,,3313992,,,new,TRUE,,,,,,www.google.com,lb,,19465.2,,,draft
co-2-helix-v20-04-1-1.5-vce,CO-2 HELIX V20-04-1/1.5/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-04-1/1.5/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 1½ HP<br><strong>Weight:</strong> 804 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3313993,364688,shopify,,deny,manual,23659.61,54315.0,19553.4,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-04-1/1.5/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-04-1/1.5/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-04-1/1.5/VCE <p><strong>Model:</strong> CO-2 HELIX V20-04-1/1.5/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 1½ HP<br><strong>Weight:</strong> 804 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 23659.61 USD
Buy CO-2 HELIX V20-04-1/1.5/VCE online. Durable, efficient booster pump system from Wilo.",,,,3313993,,,new,TRUE,,,,,,www.google.com,lb,,19553.4,,,draft
co-2-helix-v20-05-1-1.5-vce,CO-2 HELIX V20-05-1/1.5/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-05-1/1.5/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 1½ HP<br><strong>Weight:</strong> 809 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3313994,366956,shopify,,deny,manual,23761.98,54550.0,19638.0,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-05-1/1.5/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-05-1/1.5/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-05-1/1.5/VCE <p><strong>Model:</strong> CO-2 HELIX V20-05-1/1.5/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 1½ HP<br><strong>Weight:</strong> 809 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 23761.98 USD
Buy CO-2 HELIX V20-05-1/1.5/VCE online. Durable, efficient booster pump system from Wilo.",,,,3313994,,,new,TRUE,,,,,,www.google.com,lb,,19638.0,,,draft
co-2-helix-v20-06-1-2-vce,CO-2 HELIX V20-06-1/2/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-06-1/2/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 825 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3313995,374213,shopify,,deny,manual,23944.93,54970.0,19789.2,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-06-1/2/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-06-1/2/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-06-1/2/VCE <p><strong>Model:</strong> CO-2 HELIX V20-06-1/2/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 825 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 23944.93 USD
Buy CO-2 HELIX V20-06-1/2/VCE online. Durable, efficient booster pump system from Wilo.",,,,3313995,,,new,TRUE,,,,,,www.google.com,lb,,19789.2,,,draft
co-2-helix-v20-07-1-2-vce,CO-2 HELIX V20-07-1/2/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-07-1/2/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 828 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3313996,375574,shopify,,deny,manual,23992.85,55080.0,19828.8,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-07-1/2/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-07-1/2/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-07-1/2/VCE <p><strong>Model:</strong> CO-2 HELIX V20-07-1/2/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 828 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 23992.85 USD
Buy CO-2 HELIX V20-07-1/2/VCE online. Durable, efficient booster pump system from Wilo.",,,,3313996,,,new,TRUE,,,,,,www.google.com,lb,,19828.8,,,draft
co-2-helix-v20-08-1-3-vce,CO-2 HELIX V20-08-1/3/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-08-1/3/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 837 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3313997,379657,shopify,,deny,manual,24944.63,57265.0,20615.4,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-08-1/3/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-08-1/3/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-08-1/3/VCE <p><strong>Model:</strong> CO-2 HELIX V20-08-1/3/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 837 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 24944.63 USD
Buy CO-2 HELIX V20-08-1/3/VCE online. Durable, efficient booster pump system from Wilo.",,,,3313997,,,new,TRUE,,,,,,www.google.com,lb,,20615.4,,,draft
co-2-helix-v20-09-1-3-vce,CO-2 HELIX V20-09-1/3/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-09-1/3/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 842 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3313998,381924,shopify,,deny,manual,24790.0,56910.0,20487.6,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-09-1/3/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-09-1/3/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-09-1/3/VCE <p><strong>Model:</strong> CO-2 HELIX V20-09-1/3/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 842 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 24790.0 USD
Buy CO-2 HELIX V20-09-1/3/VCE online. Durable, efficient booster pump system from Wilo.",,,,3313998,,,new,TRUE,,,,,,www.google.com,lb,,20487.6,,,draft
co-2-helix-v20-10-1-3-vce,CO-2 HELIX V20-10-1/3/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-10-1/3/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 845 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3313999,383285,shopify,,deny,manual,25053.53,57515.0,20705.4,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-10-1/3/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-10-1/3/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-10-1/3/VCE <p><strong>Model:</strong> CO-2 HELIX V20-10-1/3/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 845 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 25053.53 USD
Buy CO-2 HELIX V20-10-1/3/VCE online. Durable, efficient booster pump system from Wilo.",,,,3313999,,,new,TRUE,,,,,,www.google.com,lb,,20705.4,,,draft
co-2-helix-v20-11-1-5-vce,CO-2 HELIX V20-11-1/5/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-11-1/5/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 5 HP<br><strong>Weight:</strong> 900 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3314000,408233,shopify,,deny,manual,26122.93,59970.0,21589.2,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-11-1/5/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-11-1/5/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-11-1/5/VCE <p><strong>Model:</strong> CO-2 HELIX V20-11-1/5/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 5 HP<br><strong>Weight:</strong> 900 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 26122.93 USD
Buy CO-2 HELIX V20-11-1/5/VCE online. Durable, efficient booster pump system from Wilo.",,,,3314000,,,new,TRUE,,,,,,www.google.com,lb,,21589.2,,,draft
co-2-helix-v20-12-1-5-vce,CO-2 HELIX V20-12-1/5/VCE (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO-2 HELIX V20-12-1/5/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 5 HP<br><strong>Weight:</strong> 907 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO Helix-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3314001,411408,shopify,,deny,manual,26567.24,60990.0,21956.4,FALSE,TRUE,,www.google.com,1,CO-2 HELIX V20-12-1/5/VCE (~1 in / ~3 Out 208-230V),FALSE,CO Helix CO-2 HELIX V20-12-1/5/VCE – Wilo CO Helix Series ~1 in / ~3 Out 208-230V,"CO Helix CO-2 HELIX V20-12-1/5/VCE <p><strong>Model:</strong> CO-2 HELIX V20-12-1/5/VCE<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 5 HP<br><strong>Weight:</strong> 907 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 26567.24 USD
Buy CO-2 HELIX V20-12-1/5/VCE online. Durable, efficient booster pump system from Wilo.",,,,3314001,,,new,TRUE,,,,,,www.google.com,lb,,21956.4,,,draft
