Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Cost,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
mvi-406-2,MVI 406/2 (230V),"<p><strong>Model:</strong> MVI 406/2<br><strong>Voltage:</strong> 230V<br><strong>Power:</strong> 1.5 HP<br><strong>Weight:</strong> 142 lbs</p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pumps,,FALSE,Voltage,230V,,,,,4011234,64410,shopify,,deny,manual,670.82,1540.0,554.4,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO_Helix2.png?v=1752758016,1,MVI 406/2 (230V),FALSE,MVI 406/2 (230V),Buy MVI 406/2 (230V) online.,,,,4011234,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO_Helix2.png?v=1752758016,lb,,554.4,,,draft
mvi-406-2,,,,,,FALSE,Voltage,460V,,,,,4011235,64410,shopify,,deny,manual,670.82,1540.0,554.4,TRUE,TRUE,,,,,FALSE,,,,,,4011235,,,new,TRUE,,,,,,,lb,,554.4,,,draft
mvi-406-3,MVI 406/3 (230V),"<p><strong>Model:</strong> MVI 406/3<br><strong>Voltage:</strong> 230V<br><strong>Power:</strong> 2.0 HP<br><strong>Weight:</strong> 165 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pumps,,FALSE,Voltage,230V,,,,,4011236,74843,shopify,,deny,manual,736.16,1690.0,608.4,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO_Helix2.png?v=1752758016,1,MVI 406/3 (230V),FALSE,MVI 406/3 (230V),Buy MVI 406/3 (230V) online.,,,,4011236,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO_Helix2.png?v=1752758016,lb,,608.4,,,archived
mvi-406-3,,,,,,FALSE,Voltage,460V,,,,,4011237,74843,shopify,,deny,manual,736.16,1690.0,608.4,TRUE,TRUE,,,,,FALSE,,,,,,4011237,,,new,TRUE,,,,,,,lb,,608.4,,,archived
mvi-408-2,MVI 408/2 (230V),"<p><strong>Model:</strong> MVI 408/2<br><strong>Voltage:</strong> 230V<br><strong>Power:</strong> 3.0 HP<br><strong>Weight:</strong> 188 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pumps,,FALSE,Voltage,230V,,,,,4011238,85275,shopify,,deny,manual,794.97,1825.0,657.0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO_Helix2.png?v=1752758016,1,MVI 408/2 (230V),FALSE,MVI 408/2 (230V),Buy MVI 408/2 (230V) online.,,,,4011238,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO_Helix2.png?v=1752758016,lb,,657.0,,,archived
mvi-408-2,,,,,,FALSE,Voltage,460V,,,,,4011239,85275,shopify,,deny,manual,794.97,1825.0,657.0,TRUE,TRUE,,,,,FALSE,,,,,,4011239,,,new,TRUE,,,,,,,lb,,657.0,,,archived
