Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Cost,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
co3-mvi-15-12,,,,,,FALSE,Voltage,3~ 460V,,,,,3353840,266712,shopify,,deny,manual,26020.566,59735.0,21504.6,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,21504.6,,,draft
co3-mvi-15-12,,,,,,FALSE,Voltage,3~ 575V,,,,,3354329,266712,shopify,,deny,manual,27719.406,63635.0,22908.6,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,22908.6,,,draft
co3-mvi-15-13,CO3 MVI 15-13 (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO3 MVI 15-13<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 764 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353083,346544,shopify,,deny,manual,27865.332,63970.0,23029.2,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-13 (~1 in / ~3 Out 208-230V),,CO3-MVI CO3 MVI 15-13 – Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-13 <p><strong>Model:</strong> CO3 MVI 15-13<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 764 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 27865.332 USD
Buy CO3 MVI 15-13 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,23029.2,,,draft
co3-mvi-15-13,,,,,,FALSE,Voltage,3~ 208-230V,,,,,3353352,346544,shopify,,deny,manual,31265.19,71775.0,25839.0,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,25839.0,,,draft
co3-mvi-15-13,,,,,,FALSE,Voltage,3~ 460V,,,,,3353841,346544,shopify,,deny,manual,29886.515999999996,68610.0,24699.6,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,24699.6,,,draft
co3-mvi-15-13,,,,,,FALSE,Voltage,3~ 575V,,,,,3354330,346544,shopify,,deny,manual,31419.827999999998,72130.0,25966.8,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,25966.8,,,draft
co3-mvi-15-15,CO3 MVI 15-15 (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO3 MVI 15-15<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 767 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353084,347905,shopify,,deny,manual,27961.163999999997,64190.0,23108.399999999998,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-15 (~1 in / ~3 Out 208-230V),,CO3-MVI CO3 MVI 15-15 – Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-15 <p><strong>Model:</strong> CO3 MVI 15-15<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 3 HP<br><strong>Weight:</strong> 767 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 27961.163999999997 USD
Buy CO3 MVI 15-15 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,23108.399999999998,,,draft
co3-mvi-15-15,,,,,,FALSE,Voltage,3~ 208-230V,,,,,3353353,347905,shopify,,deny,manual,31365.377999999997,72005.0,25921.8,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,25921.8,,,draft
co3-mvi-15-15,,,,,,FALSE,Voltage,3~ 460V,,,,,3353842,347905,shopify,,deny,manual,29982.347999999998,68830.0,24778.8,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,24778.8,,,draft
co3-mvi-15-15,,,,,,FALSE,Voltage,3~ 575V,,,,,3354331,347905,shopify,,deny,manual,31515.66,72350.0,26046.0,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,26046.0,,,draft
