Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Product Category,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"scp-10-x-8-x-12½-ha---pump,-base,-coupling-and-guard","SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 364T<br><strong>Weight lbs: </strong> 1800<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,364T,,,,,8047488-PBCG,816465.6,,,continue,manual,8832.46,29540.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,"SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard) ",,"SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 364T<br><strong>Weight lbs: </strong> 1800<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,lb,,7680.4,,,draft
"scp-10-x-8-x-12½-ha---pump,-base,-coupling-and-guard","SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 365T<br><strong>Weight lbs: </strong> 1949<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,365T,,,,,8047488-PBCG,884050.808,,,continue,manual,8813.02,29475.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,,,,,"SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 365T<br><strong>Weight lbs: </strong> 1949<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,7663.5,,,draft
"scp-10-x-8-x-12½-ha---pump,-base,-coupling-and-guard","SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 404T<br><strong>Weight lbs: </strong> 1899<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,404T,,,,,8047488-PBCG,861371.208,,,continue,manual,8757.71,29290.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,,,,,"SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 404T<br><strong>Weight lbs: </strong> 1899<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,7615.4,,,draft
"scp-10-x-8-x-12½-ha---pump,-base,-coupling-and-guard","SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 405T<br><strong>Weight lbs: </strong> 2114<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,405T,,,,,8047488-PBCG,958893.488,,,continue,manual,9239.1,30900.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,,,,,"SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 405T<br><strong>Weight lbs: </strong> 2114<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,8034.0,,,draft
"scp-10-x-8-x-12½-ha---pump,-base,-coupling-and-guard","SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 444T<br><strong>Weight lbs: </strong> 2740<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,444T,,,,,8047488-PBCG,1242842.08,,,continue,manual,9261.52,30975.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,,,,,"SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 444T<br><strong>Weight lbs: </strong> 2740<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,8053.5,,,draft
"scp-10-x-8-x-12½-ha---pump,-base,-coupling-and-guard","SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 445T<br><strong>Weight lbs: </strong> 2873<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,445T,,,,,8047488-PBCG,1303169.816,,,continue,manual,11599.7,38795.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,,,,,"SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 10 x 8 x 12½ HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 445T<br><strong>Weight lbs: </strong> 2873<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,10086.7,,,draft
"scp-2.5x2x8.5-ha---pump,-base,-coupling-and-guard","SCP 2.5x2x8.5 HA - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 2.5x2x8.5 HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 182T<br><strong>Weight lbs: </strong> 387<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,182T,,,,,8047460-PBCG,175540.104,,,continue,manual,3889.99,13010.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,"SCP 2.5x2x8.5 HA - (Pump, Base, Coupling and Guard) ",,"SCP 2.5x2x8.5 HA - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 2.5x2x8.5 HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 182T<br><strong>Weight lbs: </strong> 387<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,lb,,3382.6,,,draft
"scp-2.5x2x8.5-ha---pump,-base,-coupling-and-guard","SCP 2.5x2x8.5 HA - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 2.5x2x8.5 HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 184T<br><strong>Weight lbs: </strong> 396<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,184T,,,,,8047460-PBCG,179622.432,,,continue,manual,3904.94,13060.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,,,,,"SCP 2.5x2x8.5 HA - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 2.5x2x8.5 HA - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 184T<br><strong>Weight lbs: </strong> 396<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,3395.6,,,draft
"scp-3-x-2-x-13-ds---pump,-base,-coupling-and-guard","SCP 3 x 2 x 13 DS - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 3 x 2 x 13 DS - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 254T<br><strong>Weight lbs: </strong> 587<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,254T,,,,,8047463-PBCG,266258.504,,,continue,manual,5571.86,18635.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,1,"SCP 3 x 2 x 13 DS - (Pump, Base, Coupling and Guard) ",,"SCP 3 x 2 x 13 DS - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 3 x 2 x 13 DS - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 254T<br><strong>Weight lbs: </strong> 587<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/SCP.png?v=1754396425,lb,,4845.1,,,draft
"scp-3-x-2-x-13-ds---pump,-base,-coupling-and-guard","SCP 3 x 2 x 13 DS - (Pump, Base, Coupling and Guard) ","<p><strong>Model: </strong> SCP 3 x 2 x 13 DS - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 256T<br><strong>Weight lbs: </strong> 600<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Horizontal Split Case Pumps,"Wilo, Wilo-SCP Pump-Base-Coupling-Guard",FALSE,Frame Size,256T,,,,,8047463-PBCG,272155.2,,,continue,manual,5576.35,18650.0,FALSE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,,,,,"SCP 3 x 2 x 13 DS - (Pump, Base, Coupling and Guard)","<p><strong>Model: </strong> SCP 3 x 2 x 13 DS - (Pump, Base, Coupling and Guard)<br><strong>Frame Size: </strong> 256T<br><strong>Weight lbs: </strong> 600<br></p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,4849.0,,,draft
