Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Product Category,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
co3-mvi-15-10,CO3 MVI 15-10,"<p><strong>Model: </strong> CO3 MVI 15-10<br><strong>Voltage: </strong> ~1 in / ~3 Out 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353080,263991,,,continue,manual,25581.06,61790.0,FALSE,TRUE,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-10,,CO3-MVI CO3 MVI 15-10 - Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-10 <p><strong>Model: </strong> CO3 MVI 15-10<br><strong>Voltage: </strong> ~1 in / ~3 Out 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 25581.06 USD
Buy CO3 MVI 15-10 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,22244.4,,,draft
co3-mvi-15-10,CO3 MVI 15-10,"<p><strong>Model: </strong> CO3 MVI 15-10<br><strong>Voltage: </strong> 3~ 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-3~ 208-230V",FALSE,Voltage,3~ 208-230V,,,,,3353349,263991,,,continue,manual,26359.38,63670.0,FALSE,TRUE,,,,,,,CO3-MVI CO3 MVI 15-10 - Wilo CO3-MVI Series 3~ 208-230V,"CO3-MVI CO3 MVI 15-10 <p><strong>Model: </strong> CO3 MVI 15-10<br><strong>Voltage: </strong> 3~ 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 26359.38 USD
Buy CO3 MVI 15-10 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,,lb,,22921.2,,,draft
co3-mvi-15-10,CO3 MVI 15-10,"<p><strong>Model: </strong> CO3 MVI 15-10<br><strong>Voltage: </strong> 3~ 460V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-3~ 460V",FALSE,Voltage,3~ 460V,,,,,3353838,263991,,,continue,manual,24622.65,59475.0,FALSE,TRUE,,,,,,,CO3-MVI CO3 MVI 15-10 - Wilo CO3-MVI Series 3~ 460V,"CO3-MVI CO3 MVI 15-10 <p><strong>Model: </strong> CO3 MVI 15-10<br><strong>Voltage: </strong> 3~ 460V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 24622.65 USD
Buy CO3 MVI 15-10 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,,lb,,21411.0,,,draft
co3-mvi-15-10,CO3 MVI 15-10,"<p><strong>Model: </strong> CO3 MVI 15-10<br><strong>Voltage: </strong> 3~ 575V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-3~ 575V",FALSE,Voltage,3~ 575V,,,,,3354327,263991,,,continue,manual,26233.11,63365.0,FALSE,TRUE,,,,,,,CO3-MVI CO3 MVI 15-10 - Wilo CO3-MVI Series 3~ 575V,"CO3-MVI CO3 MVI 15-10 <p><strong>Model: </strong> CO3 MVI 15-10<br><strong>Voltage: </strong> 3~ 575V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 26233.11 USD
Buy CO3 MVI 15-10 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,,lb,,22811.4,,,draft
co3-mvi-15-11,CO3 MVI 15-11,"<p><strong>Model: </strong> CO3 MVI 15-11<br><strong>Voltage: </strong> ~1 in / ~3 Out 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353081,265351,,,continue,manual,25626.6,61900.0,FALSE,TRUE,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-11,,CO3-MVI CO3 MVI 15-11 - Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-11 <p><strong>Model: </strong> CO3 MVI 15-11<br><strong>Voltage: </strong> ~1 in / ~3 Out 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 25626.6 USD
Buy CO3 MVI 15-11 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,22284.0,,,draft
co3-mvi-15-11,CO3 MVI 15-11,"<p><strong>Model: </strong> CO3 MVI 15-11<br><strong>Voltage: </strong> 3~ 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-3~ 208-230V",FALSE,Voltage,3~ 208-230V,,,,,3353350,265351,,,continue,manual,26409.06,63790.0,FALSE,TRUE,,,,,,,CO3-MVI CO3 MVI 15-11 - Wilo CO3-MVI Series 3~ 208-230V,"CO3-MVI CO3 MVI 15-11 <p><strong>Model: </strong> CO3 MVI 15-11<br><strong>Voltage: </strong> 3~ 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 26409.06 USD
Buy CO3 MVI 15-11 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,,lb,,22964.4,,,draft
co3-mvi-15-11,CO3 MVI 15-11,"<p><strong>Model: </strong> CO3 MVI 15-11<br><strong>Voltage: </strong> 3~ 460V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-3~ 460V",FALSE,Voltage,3~ 460V,,,,,3353839,265351,,,continue,manual,24668.19,59585.0,FALSE,TRUE,,,,,,,CO3-MVI CO3 MVI 15-11 - Wilo CO3-MVI Series 3~ 460V,"CO3-MVI CO3 MVI 15-11 <p><strong>Model: </strong> CO3 MVI 15-11<br><strong>Voltage: </strong> 3~ 460V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 24668.19 USD
Buy CO3 MVI 15-11 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,,lb,,21450.6,,,draft
co3-mvi-15-11,CO3 MVI 15-11,"<p><strong>Model: </strong> CO3 MVI 15-11<br><strong>Voltage: </strong> 3~ 575V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-3~ 575V",FALSE,Voltage,3~ 575V,,,,,3354328,265351,,,continue,manual,26280.72,63480.0,FALSE,TRUE,,,,,,,CO3-MVI CO3 MVI 15-11 - Wilo CO3-MVI Series 3~ 575V,"CO3-MVI CO3 MVI 15-11 <p><strong>Model: </strong> CO3 MVI 15-11<br><strong>Voltage: </strong> 3~ 575V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 26280.72 USD
Buy CO3 MVI 15-11 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,,lb,,22852.8,,,draft
co3-mvi-15-12,CO3 MVI 15-12,"<p><strong>Model: </strong> CO3 MVI 15-12<br><strong>Voltage: </strong> ~1 in / ~3 Out 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 588 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353082,266712,,,continue,manual,25688.7,62050.0,FALSE,TRUE,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-12,,CO3-MVI CO3 MVI 15-12 - Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-12 <p><strong>Model: </strong> CO3 MVI 15-12<br><strong>Voltage: </strong> ~1 in / ~3 Out 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 588 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 25688.7 USD
Buy CO3 MVI 15-12 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,22338.0,,,draft
co3-mvi-15-12,CO3 MVI 15-12,"<p><strong>Model: </strong> CO3 MVI 15-12<br><strong>Voltage: </strong> 3~ 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 588 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-3~ 208-230V",FALSE,Voltage,3~ 208-230V,,,,,3353351,266712,,,continue,manual,26475.3,63950.0,FALSE,TRUE,,,,,,,CO3-MVI CO3 MVI 15-12 - Wilo CO3-MVI Series 3~ 208-230V,"CO3-MVI CO3 MVI 15-12 <p><strong>Model: </strong> CO3 MVI 15-12<br><strong>Voltage: </strong> 3~ 208-230V<br><strong>Power: </strong> 2 HP<br><strong>Weight: </strong> 588 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p> 26475.3 USD
Buy CO3 MVI 15-12 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,,lb,,23022.0,,,draft
